Date,Temperature (° F) Max,Temperature (° F) Avg,Temperature (° F) Min,Dew Point (° F) Max,Dew Point (° F) Avg,Dew Point (° F) Min,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min,Wind Speed (mph) Max,Wind Speed (mph) Avg,Wind Speed (mph) Min,Pressure (Hg) Max,Pressure (Hg) Avg,Pressure (Hg) Min,Precipitation (in) Total
01/10/2020,68,59.8,50,52,46.5,41,87,64.2,37,10,3.9,0,30.2,30.1,30.1,0
02/10/2020,68,61.5,55,57,50.5,45,88,68.8,43,13,6.8,3,30.1,30.1,30,0
03/10/2020,72,66.8,63,64,60,54,94,78.8,68,16,12.6,8,30.1,30,29.9,0
04/10/2020,66,62.1,57,54,51.7,46,88,69.2,52,14,10.5,7,30.2,30.1,30.1,0
05/10/2020,66,60,54,52,47.5,43,88,64.9,43,14,9.1,5,30.2,30.1,30.1,0
06/10/2020,66,60.5,54,52,48.1,46,82,65.4,49,12,6.2,2,30.2,30.1,30.1,0
07/10/2020,70,62.4,54,57,53,50,94,72.2,49,17,9.2,3,30.2,30.2,30.2,0
08/10/2020,77,68.7,63,64,60.7,57,88,75.8,61,13,9.3,6,30.3,30.2,30.2,0
09/10/2020,72,66.2,59,61,56,46,83,70.3,52,13,8.5,5,30.3,30.2,30.2,0
10/10/2020,68,60.1,52,46,44.9,43,82,58.9,40,9,3.3,1,30.3,30.2,30.1,0
11/10/2020,68,60.2,54,48,46.3,43,77,61.8,46,14,7.5,0,30.1,30,30,0
12/10/2020,72,63.8,57,54,49.7,46,77,61.6,41,13,10.1,7,30.2,30.1,30,0
13/10/2020,77,66.5,57,57,54.1,52,88,66.2,41,14,7.9,2,30.2,30.2,30.2,0
14/10/2020,81,67.8,55,59,55.3,52,88,67.1,39,13,6.7,2,30.2,30.1,30.1,0
15/10/2020,84,71.8,61,63,60,57,88,68.7,42,9,4.5,0,30.1,30,30,0
16/10/2020,77,69.9,61,61,56.5,54,78,63.5,44,16,8.5,2,30.4,30.2,30.1,0
17/10/2020,70,61.9,55,54,49,41,82,64,37,18,11.9,5,30.4,30.3,30.3,0
18/10/2020,68,61.2,54,54,48.8,46,77,65.2,46,23,11.3,2,30.3,30.2,30.1,0
19/10/2020,73,64.7,57,55,50.8,46,82,62.7,38,21,10.3,2,30.1,30,30,0
20/10/2020,75,65.4,57,55,52,45,88,63.9,38,13,8.4,3,30.1,30.1,30,0
21/10/2020,73,63.2,55,55,52,45,94,70.6,38,6,2.9,0,30.1,30,30,0
22/10/2020,77,67.3,59,57,52.8,46,82,61.8,34,14,8,0,30,29.8,29.7,0
23/10/2020,68,62.2,54,59,55.1,46,88,78.4,60,18,10.7,3,29.6,29.5,29.4,0
24/10/2020,63,54.1,50,48,44.8,41,88,71.9,45,16,9,5,29.5,29.4,29.3,0
25/10/2020,59,53.4,48,46,41.5,36,87,65.6,42,26,16.3,5,29.8,29.5,29.3,0
26/10/2020,55,51.8,46,48,39.9,36,88,64.7,54,21,14.8,12,29.9,29.8,29.8,0
27/10/2020,57,54.1,52,46,44.7,43,77,70.5,67,16,11.5,7,29.9,29.9,29.8,0
28/10/2020,64,58,52,55,45.8,34,82,65.8,34,13,8.4,2,29.9,29.9,29.9,0
29/10/2020,66,61.4,57,59,55.6,50,94,82.2,60,10,5.3,1,30,29.9,29.9,0
30/10/2020,64,59,54,57,53.1,48,94,81.5,64,16,8.1,3,29.9,29.7,29.5,0
